Country Name,Country Code,Currency Unit,Year,Overall Score,Indicator,Score
Slovenia,SVN,Euro,2018,80.9,Getting Creding,45
Slovenia,SVN,Euro,2018,80.9,Resolving insolvency,83.7
Slovenia,SVN,Euro,2018,80.9,Starting a business,94.7
Slovenia,SVN,Euro,2018,80.9,Trading across borders,100
Slovenia,SVN,Euro,2019,80.4,Getting Creding,45
Slovenia,SVN,Euro,2019,80.4,Resolving insolvency,83.7
Slovenia,SVN,Euro,2019,80.4,Starting a business,92.9
Slovenia,SVN,Euro,2019,80.4,Trading across borders,100
Slovenia,SVN,Euro,2020,80.6,Getting Creding,45
Slovenia,SVN,Euro,2020,80.6,Resolving insolvency,84.4
Slovenia,SVN,Euro,2020,80.6,Starting a business,93
Slovenia,SVN,Euro,2020,80.6,Trading across borders,100
Spain,ESP,Euro,2016,80.6,Getting Creding,60
Spain,ESP,Euro,2016,80.6,Resolving insolvency,75.8
Spain,ESP,Euro,2016,80.6,Starting a business,86.4
Spain,ESP,Euro,2016,80.6,Trading across borders,100
Spain,ESP,Euro,2017,81.6,Getting Creding,60
Spain,ESP,Euro,2017,81.6,Resolving insolvency,79.6
Spain,ESP,Euro,2017,81.6,Starting a business,86.7
Spain,ESP,Euro,2017,81.6,Trading across borders,100
Spain,ESP,Euro,2018,81.4,Getting Creding,60
Spain,ESP,Euro,2018,81.4,Resolving insolvency,78.7
Spain,ESP,Euro,2018,81.4,Starting a business,86.7
Spain,ESP,Euro,2018,81.4,Trading across borders,100
Spain,ESP,Euro,2019,81.5,Getting Creding,60
Spain,ESP,Euro,2019,81.5,Resolving insolvency,79.1
Spain,ESP,Euro,2019,81.5,Starting a business,86.9
Spain,ESP,Euro,2019,81.5,Trading across borders,100
Spain,ESP,Euro,2020,81.5,Getting Creding,60
Spain,ESP,Euro,2020,81.5,Resolving insolvency,79.2
Spain,ESP,Euro,2020,81.5,Starting a business,86.9
Spain,ESP,Euro,2020,81.5,Trading across borders,100
